,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,rsi,bband_up,bband_mid,bband_low,bbp,adx,macd,cci,slowk,slowd,ultosc,willr
0,1980-12-12,28.75,28.87,28.75,28.75,2093900.0,0.0,1.0,0.42270591588018,0.42447025361602997,0.42270591588018,0.42270591588018,117258400.0,,,,,,,,,,,,
1,1980-12-15,27.38,27.38,27.25,27.25,785200.0,0.0,1.0,0.40256306006259,0.40256306006259,0.40065169418209,0.40065169418209,43971200.0,,,,,,,,,,,,
2,1980-12-16,25.37,25.37,25.25,25.25,472000.0,0.0,1.0,0.37301040298714006,0.37301040298714006,0.37124606525129,0.37124606525129,26432000.0,,,,,,,,,,,,
3,1980-12-17,25.87,26.0,25.87,25.87,385900.0,0.0,1.0,0.38036181021984006,0.38227317610034006,0.38036181021984006,0.38036181021984006,21610400.0,,,,,,,,,,,,
4,1980-12-18,26.63,26.75,26.63,26.63,327900.0,0.0,1.0,0.39153594921353996,0.39330028694939,0.39153594921353996,0.39153594921353996,18362400.0,,,,,,,,,,,,
5,1980-12-19,28.25,28.38,28.25,28.25,217100.0,0.0,1.0,0.41535450864748,0.41726587452798003,0.41535450864748,0.41535450864748,12157600.0,,,,,,,,,,,,
6,1980-12-22,29.63,29.75,29.63,29.63,166800.0,0.0,1.0,0.43564439260973,0.43740873034558,0.43564439260973,0.43564439260973,9340800.0,,,,,,,,,,,,
7,1980-12-23,30.88,31.0,30.88,30.88,209600.0,0.0,1.0,0.45402291069148,0.45578724842733004,0.45402291069148,0.45402291069148,11737600.0,,,,,,,,,,,,
8,1980-12-24,32.5,32.63,32.5,32.5,214300.0,0.0,1.0,0.47784147012542,0.47975283600591995,0.47784147012542,0.47784147012542,12000800.0,,,,,,,,,97.60916179337075,90.55220093959754,,
9,1980-12-26,35.5,35.62,35.5,35.5,248100.0,0.0,1.0,0.52194991352162,0.5237142512574601,0.52194991352162,0.52194991352162,13893600.0,,,,,,,,,97.95530984101482,97.50380136859435,,
